,INDEX_,sub_smiles
0,0,NCCN1CCOCC1
0,1,NCC1CCNRCC1
1,1,CCRNc2cccc3c2CRc2c-3n[nH]c2C2CCCCC2
2,1,=O
3,1,=O
0,2,COCc1ccRcc2c1O[C@@H]R[C@H]1CCRRC[C@@H]21
1,2,O
2,2,c1cccRcc1
3,2,F
4,2,F
5,2,O
0,3,CCR=CCN1CC[C@@]2Rc3ccRccc3C[C@@H]1[C@@H]2C
1,3,C
2,3,C
3,3,O
0,4,NSRRc1cccRcc1
1,4,=O
2,4,=O
3,4,CRNCc2ccccc2F
4,4,=O
0,5,C[N+]RRCCOCRCCCROCC[N+]RRC
1,5,C
2,5,C
3,5,=O
4,5,=O
5,5,C
6,5,C
0,6,C[C@]12CC[C@H]3[C@@H]R[C@@H]1CC[C@@H]2O
1,6,CCC4=CCRCC[C@@]43C
2,6,=O
0,7,COCCOc1ccRncRn1
1,7,C
2,7,N
0,8,C=CCNC1=C2C[C@@H]RC[C@H]R[C@H]R[C@@H]RC=CR[C@H]R[C@@H]R/C=C\C=CRCR=NCRC2=O
1,8,C
2,8,OC
3,8,O
4,8,C
5,8,C
6,8,OCRO
7,8,OC
8,8,/C
9,8,O
10,8,=CC1=O
11,8,=N
0,9,O=PRROC[C@H]1O[C@H]R[C@H]R[C@@H]1O
1,9,O
2,9,O
3,9,OPRROPRRO
4,9,O
5,9,=O
6,9,O
7,9,=O
8,9,O
0,10,CN1CCC[C@@H]1Cc1c[nH]c2cccRcc12
1,10,CCSRRc3ccccc3
2,10,=O
3,10,=O
0,11,O=CRN1CCNRCC1
1,11,c1cc2cRs1
2,11,SRRc2cc3ccRccc3[nH]2
3,11,ccc[n+]2[O-]
4,11,=O
5,11,=O
6,11,L
0,12,Cc1oncc1CRNc1cccRcc1
1,12,=O
2,12,CRRF
3,12,F
4,12,F
0,13,O=NCRCNSRRc1ccccc1
1,13,=O
2,13,=O
3,13,=O
0,14,CSCC[C@H]RCRO
1,14,NC=O
2,14,=O
0,15,NCRc1ccc2[nH]cRnc2c1
1,15,=[NH2+]
2,15,-c3ccccRc3[O-]
3,15,OC4CCCC4
0,16,CCNCRNCC
1,16,=NCCCC[C@H]RCRN1CCC[C@H]1CRN[C@H]RCR=O
2,16,NCR[C@H]RNCR[C@@H]RNCR[C@H]RNCR[C@H]RNCR[C@@H]RNCR[C@@H]RNCR[C@@H]RNCR=O
3,16,=O
4,16,=O
5,16,C
6,16,N
7,16,=O
8,16,CCRC
9,16,=O
10,16,CCCCN=CRNCC
11,16,=O
12,16,Cc1cccRcc1
13,16,=O
14,16,CO
15,16,=O
16,16,Cc1cccnc1
17,16,=O
18,16,Cc1cccRcc1
19,16,=O
20,16,Cc1ccc2ccccc2c1
21,16,C
22,16,C
23,16,NCC
24,16,O
25,16,L
0,17,NC[C@@H]1CCCN1
0,18,CSC[C@H]1O[C@@H]R[C@H]R[C@@H]1O
1,18,n2ccc3cRncnc32
2,18,O
3,18,N
0,19,O=SRRO[Al]RO
1,19,=O
2,19,OC[C@H]1O[C@@H]R[C@H]R[C@@H]R[C@@H]1OSRRO[Al]RO
3,19,O
4,19,O[C@]2RO[C@H]R[C@@H]R[C@@H]2OSRRO[Al]RO
5,19,OSRRO[Al]RO
6,19,OSRRO[Al]RO
7,19,=O
8,19,=O
9,19,O
10,19,COSRRO[Al]RO
11,19,OSRRO[Al]RO
12,19,OSRRO[Al]RO
13,19,=O
14,19,=O
15,19,O
16,19,=O
17,19,=O
18,19,O
19,19,=O
20,19,=O
21,19,O
22,19,=O
23,19,=O
24,19,O
25,19,=O
26,19,=O
27,19,O
28,19,=O
29,19,=O
30,19,O
0,20,[L-].[K+]
0,21,CO[C@H]1/C=C/O[C@@]2ROc3cRcRc4cRcRNCR/CR=C\C=C\[C@H]R[C@H]R[C@@H]R[C@@H]R[C@@H]R[C@H]R[C@@H]1C
1,21,C
2,21,C
3,21,O
4,21,=O
5,21,c5oc6ccRccRc6nc-5c4c3C2=O
6,21,=O
7,21,C
8,21,C
9,21,O
10,21,C
11,21,O
12,21,C
13,21,OCR=O
14,21,N7CCNRCC7
15,21,O
16,21,C
17,21,CCRC
18,21,C
0,22,CN1CCCRCC1
1,22,=C2c3ccccc3CCn3cRcnc32
2,22,C=O
0,23,C[N+]1R[C@H]2C[C@H]RC[C@@H]1[C@H]1O[C@@H]21
1,23,C
2,23,OCRCRRc3cccs3
3,23,=O
4,23,O
5,23,c3cccs3
0,24,O=CRc1cccc2cRcR[nH]c12
1,24,O
2,24,-c3ccccc3
3,24,-c3ccccc3
0,25,O=C1CC2RCCRN1CCCCN1CCNRCC1
1,25,CCCC2
2,25,=O
3,25,c2ncccn2
0,26,O=CRC1=CRCCC1
1,26,O
2,26,CRNc2cRccRcc2F
3,26,=O
4,26,F
5,26,-c3ccccRc3
6,26,OCRRF
7,26,F
8,26,F
0,27,O=CNRCCPRRO
1,27,O
2,27,=O
3,27,O
0,28,C[C@]12CCc3cR[C@@H]1CC[C@@]2RO
1,28,ccc4ccRccc34
2,28,C
3,28,O
0,29,O=NCRCNSRRc1cccRcc1
1,29,=O
2,29,=O
3,29,=O
4,29,F
0,30,N[C@@H]RCRO
1,30,CCCRN[C@@H]RCRNCCRO
2,30,=O
3,30,=O
4,30,CSSC[C@H]RCRNCCRO
5,30,=O
6,30,=O
7,30,NCRCC[C@H]RCRO
8,30,=O
9,30,=O
10,30,=O
11,30,N
12,30,=O
0,31,NCCCC[C@H]RCRNCCR=O
1,31,NCR[C@@H]1CCCN1CR[C@@H]1CSSC[C@H]RCRN[C@@H]RCRN[C@@H]RCRN[C@@H]RCRN[C@@H]RCRN1
2,31,=O
3,31,N
4,31,=O
5,31,=O
6,31,N
7,31,=O
8,31,Cc2ccccc2
9,31,=O
10,31,Cc2ccccc2
11,31,=O
12,31,CCCR=O
13,31,=O
14,31,CCR=O
15,31,=O
16,31,N
17,31,N
0,32,NC[C@H]1CC[C@H]RCC1
1,32,CRO
2,32,=O
0,33,CC1=CCRc2ccccc2C1=O
1,33,=O
0,34,Cc1cccRcc1
1,34,SRRN2CCSC[C@H]2CRN[C@@H]RCRO
2,34,=O
3,34,=O
4,34,=O
5,34,CCRC
6,34,=O
7,34,C
0,35,CCRc1ccc2cRNRc1ccccc1S2
1,35,=O
2,35,c1
3,35,CCCNRC
4,35,C
0,36,Cc1cccRcRc1
1,36,C
2,36,OCCCCRRCRO
3,36,C
4,36,C
5,36,=O
0,37,Cc1cRc2cRCC[C@@]RRO2
1,37,C
2,37,cRc1O
3,37,C
4,37,CCC[C@H]RCCC[C@H]RCCCCRC
5,37,C
6,37,C
7,37,C
8,37,C
0,38,CN1CCC[C@@H]1CCO[C@]RRc1cccRcc1
1,38,C
2,38,c1ccccc1
3,38,L
0,39,COc1cc2ncccRc2cc1CRO
1,39,Oc3cccRcRc3
2,39,=N
3,39,NCR=NC4CC4
4,39,L
5,39,O
0,40,NCCc1cccRcRc1
1,40,O
2,40,O
0,41,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]R[C@H]R[C@H]1O
1,41,CO[P@@]RRO[P@]RRNPRRO
2,41,O
3,41,=O
4,41,O
5,41,=O
6,41,O
7,41,=O
8,41,O
0,42,CCNCRc1n[nH]cRc1N1CCNCC1
1,42,=O
2,42,-c2ccRcRcc2O
3,42,L
4,42,O
0,43,C/N=CRNCc1ccccc1
1,43,\NC
0,44,CCOCRn1ccnRc1=S
1,44,=O
2,44,C
0,45,CCRRc1cccRcc1
1,45,C
2,45,c1cccRcc1
3,45,O
4,45,O
0,46,CCCCCSCCRSCCN=CRCCN=CR[C@H]RCRRCOPRROPRROC[C@H]1O[C@@H]R[C@H]R[C@@H]1OPRRO
1,46,=O
2,46,O
3,46,O
4,46,O
5,46,C
6,46,C
7,46,=O
8,46,O
9,46,=O
10,46,O
11,46,n2cnc3cRncnc32
12,46,O
13,46,=O
14,46,O
15,46,N
0,47,Cn1ccRcc1/C=C/CRNO
1,47,CRCc2ccccc2
2,47,=O
3,47,=O
0,48,CNNCc1cccRcc1
1,48,CRNCRC
2,48,=O
3,48,C
0,49,CNRCCC[C@@]1ROCc2ccRccc21
1,49,C
2,49,c2cccRcc2
3,49,C#N
4,49,F
0,50,N[C@@H]RCRO
1,50,CSSCCO
2,50,=O
0,51,C[C@H]RNCCOc1ccccc1OCCRRF
1,51,Cc1cc2cRNRCC2
2,51,F
3,51,F
4,51,cRc1
5,51,CCCO
6,51,CR=O
7,51,N
0,52,CCRN[C@@H]R[C@@H]R[C@H]R[C@H]RCO
1,52,=O
2,52,C=O
3,52,O
4,52,O
5,52,O
0,53,CCN1CCNRCC1
1,53,c2ncRn3nccRc3n2
2,53,Nc3ccccc3
3,53,C#N
0,54,C[C@@H]1C[C@H]2[C@@H]3C[C@H]RC4=CCRC=C[C@]4R[C@H]3[C@@H]RC[C@]2R[C@@]1RCRCO
1,54,F
2,54,=O
3,54,C
4,54,O
5,54,C
6,54,O
7,54,=O
0,55,CCc1cccRcc1
1,55,O[C@@H]RCRO
2,55,Cc2ccccc2
3,55,=O
0,56,CCCCCCCC1=CRCRc2scnc2C1=O
1,56,O
2,56,=O
0,57,COc1ccRcRcc1L
1,57,Nc2cRcnc3ccRcRcc23
2,57,L
3,57,C#N
4,57,OCCCN4CCNRCC4
5,57,OC
6,57,C
0,58,COCCRO[C@]1RCCc2ccRccc2[C@@H]1CRC
1,58,=O
2,58,CCNRCCCc2nc3ccccc3[nH]2
3,58,F
4,58,C
5,58,C
0,59,N[C@@H]RCRO
1,59,Cn1c2cRCCC2
2,59,=O
3,59,cR[nH]c1=O
4,59,=O
0,60,CC[C@@H]1SC2RNC1=O
1,60,CCNRCC2
2,60,C
0,61,Nc1ncRcs1
1,61,CCRNc2cccRcc2
2,61,=O
3,61,CCNC[C@H]Rc3ccccc3
4,61,O
0,62,CN[C@@H]RCRN[C@H]RCRRC
1,62,C
2,62,=O
3,62,CRN1C[C@@H]RC[C@H]1CRN[C@@H]1CCCc2ccccc21
4,62,C
5,62,C
6,62,=O
7,62,Oc2ccccc2
8,62,=O
0,63,CCR=CCCCR=CCCCR=CCCCR=CCOPRROPRRO
1,63,C
2,63,C
3,63,C
4,63,C
5,63,=O
6,63,O
7,63,=O
8,63,O
0,64,CCROCCR[C@@]1RCC[C@H]2[C@@H]3CCC4=CCRCC[C@]4R[C@H]3CRC[C@@]21C
1,64,=O
2,64,=O
3,64,O
4,64,=O
5,64,C
6,64,=O
0,65,Nc1ncnc2c1ncn2[C@@H]1O[C@H]R[C@@H]R[C@H]1O
1,65,COPRROPRRO[C@H]2C[C@H]RO[C@@H]2COPRRO
2,65,OPRRO
3,65,=O
4,65,O
5,65,=O
6,65,O
7,65,n3cccRnc3=O
8,65,=O
9,65,O
10,65,=O
11,65,O
12,65,O
0,66,NSRRc1cccRcc1
1,66,=O
2,66,=O
3,66,CRNCc2ccRcRcRc2
4,66,=O
5,66,F
6,66,F
7,66,F
0,67,COCR[C@H]RNCROCRRC
1,67,=O
2,67,Cc1cccRcc1
3,67,=O
4,67,C
5,67,C
6,67,C[Se]RO
7,67,=O
0,68,O=C1CR=CRc2cccRcc21
1,68,c2cccRcc2
2,68,P
3,68,O
4,68,O
0,69,C#Cc1cccRcRc1
1,69,Nc2cRcccRc2F
2,69,F
3,69,CRNOCCO
4,69,F
5,69,=O
0,70,CCc1cc2cRNRCRCN=C2c1ccccc1L
1,70,s1
2,70,C
3,70,=O
0,71,CCRC[C@H]RCR=N[C@H]1CCCNRCC1=O
1,71,C
2,71,N=CRc1cc2ccccc2o1
3,71,O
4,71,SRRc2ccccn2
5,71,O
6,71,=O
7,71,=O
0,72,CNCC[C@@H]Rc1ccccc1
1,72,Oc1ccccc1C
0,73,OCCNRc1ncRc2ncRncRc2n1
1,73,CCO
2,73,N2CCCCC2
3,73,NRCCO
4,73,N3CCCCC3
5,73,CCO
0,74,N#C[Fe-2]RRRRN=O
1,74,C#N
2,74,C#N
3,74,C#N
4,74,C#N
0,75,CC1RS[C@@H]2[C@H]RCRN2[C@H]1CRO
1,75,C
2,75,NCRCOc3ccccc3
3,75,=O
4,75,=O
5,75,=O
